Location,Day,Time,Ferry
Bell Island,Monday to Friday,5:00 AM,Flanders
Bell Island,Monday to Friday,6:00 AM,Flanders
Bell Island,Monday to Friday,7:00 AM,Flanders
Bell Island,Monday to Friday,8:00 AM,Beaumont Hamel
Bell Island,Monday to Friday,8:30 AM,Flanders
Bell Island,Monday to Friday,9:30 AM,Beaumont Hamel 
Bell Island,Monday to Friday,11:00 AM,Beaumont Hamel (DG - Tuesday)
Bell Island,Monday to Friday,12:00 PM,Beaumont Hamel
Bell Island,Monday to Friday,12:45 PM,Flanders
Bell Island,Monday to Friday,2:15 PM,Flanders
Bell Island,Monday to Friday,3:00 PM,Beaumont Hamel
Bell Island,Monday to Friday,3:45 PM,Flanders
Bell Island,Monday to Friday,4:30 PM,Beaumont Hamel
Bell Island,Monday to Friday,5:15 PM,Flanders
Bell Island,Monday to Friday,6:00 PM,Beaumont Hamel
Bell Island,Monday to Friday,7:00 PM,Beaumont Hamel
Bell Island,Monday to Friday,8:30 PM,Beaumont Hamel
Bell Island,Monday to Friday,10:00 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,5:30 AM,Flanders
Portugal Cove,Monday to Friday,6:30 AM,Flanders (DG - Tuesday)
Portugal Cove,Monday to Friday,7:30 AM,Flanders
Portugal Cove,Monday to Friday,8:30 AM,Beaumont Hamel
Portugal Cove,Monday to Friday,9:30 AM,Flanders
Portugal Cove,Monday to Friday,10:00 AM,Beaumont Hamel
Portugal Cove,Monday to Friday,11:30 AM,Beaumont Hamel
Portugal Cove,Monday to Friday,12:45 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,1:30 PM,Flanders
Portugal Cove,Monday to Friday,3:00 PM,Flanders
Portugal Cove,Monday to Friday,3:45 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,4:30 PM,Flanders
Portugal Cove,Monday to Friday,5:15 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,6:00 PM,Flanders
Portugal Cove,Monday to Friday,6:30 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,7:30 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,9:10 PM,Beaumont Hamel
Portugal Cove,Monday to Friday,10:35 PM,Beaumont Hamel
Bell Island,Saturday,6:50 AM,Flanders
Bell Island,Saturday,8:00 AM,*Beaumont Hamel Maintenance
Bell Island,Saturday,8:00 AM,Flanders
Bell Island,Saturday,9:00 AM,Flanders
Bell Island,Saturday,10:00 AM,Flanders
Bell Island,Saturday,11:00 PM,Flanders
Bell Island,Saturday,12:00 PM,Flanders
Bell Island,Saturday,1:15 PM,Beaumont Hamel
Bell Island,Saturday,2:30 PM,Flanders
Bell Island,Saturday,3:30 PM,Beaumont Hamel
Bell Island,Saturday,4:00 PM,Flanders
Bell Island,Saturday,4:45 PM,Beaumont Hamel
Bell Island,Saturday,5:15 PM,Flanders
Bell Island,Saturday,6:00 PM,Beaumont Hamel
Bell Island,Saturday,7:00 PM,Beaumont Hamel
Bell Island,Saturday,8:30 PM,Beaumont Hamel
Bell Island,Saturday,10:00 PM,Beaumont Hamel
Portugal Cove,Saturday,7:30 AM,Flanders
Portugal Cove,Saturday,8:30 AM,Flanders
Portugal Cove,Saturday,9:30 AM,Flanders
Portugal Cove,Saturday,10:30 AM,Flanders
Portugal Cove,Saturday,11:30 AM,Flanders
Portugal Cove,Saturday,12:30 PM,Flanders
Portugal Cove,Saturday,1:45 PM,Beaumont Hamel
Portugal Cove,Saturday,3:00 PM,Flanders
Portugal Cove,Saturday,4:00 PM,Beaumont Hamel
Portugal Cove,Saturday,4:45 PM,Flanders
Portugal Cove,Saturday,5:15 PM,Beaumont Hamel
Portugal Cove,Saturday,6:00 PM,Flanders
Portugal Cove,Saturday,6:30 PM,Flanders
Portugal Cove,Saturday,7:30 PM,Flanders
Portugal Cove,Saturday,9:15 PM,Flanders
Portugal Cove,Saturday,10:35 PM,Flanders
Bell Island,Sunday,6:50 AM,Beaumont Hamel
Bell Island,Sunday,8:00 AM,*Flanders Maintenance
Bell Island,Sunday,8:00 AM,Beaumont Hamel
Bell Island,Sunday,9:00 AM,Beaumont Hamel
Bell Island,Sunday,10:00 AM,Beaumont Hamel
Bell Island,Sunday,11:00 AM,Beaumont Hamel
Bell Island,Sunday,12:15 PM,Flanders
Bell Island,Sunday,1:15 PM,Flanders
Bell Island,Sunday,2:30 PM,Flanders
Bell Island,Sunday,3:00 PM,Beaumont Hamel
Bell Island,Sunday,3:30 PM,Flanders
Bell Island,Sunday,4:15 PM,Beaumont Hamel
Bell Island,Sunday,5:00 PM,Flanders
Bell Island,Sunday,5:45 PM,Beaumont Hamel
Bell Island,Sunday,7:00 PM,Beaumont Hamel
Bell Island,Sunday,8:30 PM,Beaumont Hamel
Bell Island,Sunday,10:00 PM,Beaumont Hamel
Portugal Cove,Sunday,7:30 AM,Beaumont Hamel
Portugal Cove,Sunday,8:30 AM,Beaumont Hamel
Portugal Cove,Sunday,9:30 AM,Beaumont Hamel
Portugal Cove,Sunday,10:30 AM,Beaumont Hamel
Portugal Cove,Sunday,11:35 PM,Beaumont Hamel
Portugal Cove,Sunday,12:45 PM,Flanders
Portugal Cove,Sunday,1:45 PM,Flanders
Portugal Cove,Sunday,3:00 PM,Flanders
Portugal Cove,Sunday,3:30 PM,Beaumont Hamel
Portugal Cove,Sunday,4:15 PM,Flanders
Portugal Cove,Sunday,5:00 PM,Beaumont Hamel
Portugal Cove,Sunday,5:45 PM,Flanders
Portugal Cove,Sunday,6:30 PM,Beaumont Hamel
Portugal Cove,Sunday,7:30 PM,Beaumont Hamel
Portugal Cove,Sunday,9:15 PM,Beaumont Hamel
