Location,Day,Time,Ferry
Bell Island,Monday to Friday,5:30 AM,Legionnaire
Bell Island,Monday to Friday,6:45 AM,Legionnaire
Bell Island,Monday to Friday,8:00 AM,Beaumont-Hamel
Bell Island,Monday to Friday,8:30 AM,Legionnaire
Bell Island,Monday to Friday,10:00 AM,Legionnaire
Bell Island,Monday to Friday,11:00 AM,Beaumont-Hamel (DG - Tuesday)
Bell Island,Monday to Friday,12:10 PM,Beaumont-Hamel
Bell Island,Monday to Friday,12:45 PM,Legionnaire
Bell Island,Monday to Friday,2:15 PM,Legionnaire
Bell Island,Monday to Friday,3:45 PM,Legionnaire
Bell Island,Monday to Friday,4:30 PM,Beaumont-Hamel
Bell Island,Monday to Friday,5:15 PM,Legionnaire
Bell Island,Monday to Friday,6:00 PM,Beaumont-Hamel
Bell Island,Monday to Friday,7:00 PM,Beaumont-Hamel
Bell Island,Monday to Friday,8:30 PM,Beaumont-Hamel
Bell Island,Monday to Friday,10:00 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,6:00 AM,Legionnaire (DG - Tuesday)
Portugal Cove,Monday to Friday,7:30 AM,Legionnaire
Portugal Cove,Monday to Friday,8:30 AM,Beaumont-Hamel
Portugal Cove,Monday to Friday,9:15 AM,Legionnaire
Portugal Cove,Monday to Friday,10:30 AM,Legionnaire
Portugal Cove,Monday to Friday,11:35 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,12:45 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,1:30 PM,Legionnaire
Portugal Cove,Monday to Friday,3:00 PM,Legionnaire
Portugal Cove,Monday to Friday,4:30 PM,Legionnaire
Portugal Cove,Monday to Friday,5:15 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,6:00 PM,Legionnaire
Portugal Cove,Monday to Friday,6:30 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,7:30 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,9:10 PM,Beaumont-Hamel
Portugal Cove,Monday to Friday,10:35 PM,Beaumont-Hamel
Bell Island,Saturday,6:50 AM,Legionnaire
Bell Island,Saturday,8:00 AM,*Beaumont-Hamel Maintenance
Bell Island,Saturday,8:00 AM,Legionnaire
Bell Island,Saturday,9:15 AM,Legionnaire
Bell Island,Saturday,10:45 AM,Legionnaire
Bell Island,Saturday,1:15 PM,Beaumont-Hamel
Bell Island,Saturday,2:00 PM,Legionnaire
Bell Island,Saturday,2:45 PM,Beaumont-Hamel
Bell Island,Saturday,3:30 PM,Legionnaire
Bell Island,Saturday,4:15 PM,Beaumont-Hamel
Bell Island,Saturday,5:00 PM,Legionnaire
Bell Island,Saturday,6:45 PM,Beaumont-Hamel
Bell Island,Saturday,8:30 PM,Beaumont-Hamel
Bell Island,Saturday,10:00 PM,Beaumont-Hamel
Portugal Cove,Saturday,7:20 AM,Legionnaire
Portugal Cove,Saturday,8:30 AM,Legionnaire
Portugal Cove,Saturday,10:00 AM,Legionnaire
Portugal Cove,Saturday,11:45 PM,Legionnaire
Portugal Cove,Saturday,2:00 PM,Beaumont-Hamel
Portugal Cove,Saturday,2:45 PM,Legionnaire
Portugal Cove,Saturday,3:30 PM,Beaumont-Hamel
Portugal Cove,Saturday,4:15 PM,Legionnaire
Portugal Cove,Saturday,5:00 PM,Beaumont-Hamel
Portugal Cove,Saturday,6:15 PM,Legionnaire
Portugal Cove,Saturday,7:30 PM,Beaumont-Hamel
Portugal Cove,Saturday,9:10 PM,Beaumont-Hamel
Portugal Cove,Saturday,10:35 PM,Beaumont-Hamel
Bell Island,Sunday,6:50 AM,Beaumont-Hamel
Bell Island,Sunday,8:00 AM,*Legionnaire Maintenance
Bell Island,Sunday,8:00 AM,Beaumont-Hamel
Bell Island,Sunday,9:10 AM,Beaumont-Hamel
Bell Island,Sunday,10:20 AM,Beaumont-Hamel
Bell Island,Sunday,11:30 AM,Beaumont-Hamel
Bell Island,Sunday,12:15 PM,Legionnaire
Bell Island,Sunday,1:45 PM,Legionnaire
Bell Island,Sunday,3:15 PM,Legionnaire
Bell Island,Sunday,4:00 PM,Beaumont-Hamel
Bell Island,Sunday,5:30 PM,Beaumont-Hamel
Bell Island,Sunday,6:15 PM,Legionnaire
Bell Island,Sunday,8:30 PM,Beaumont-Hamel
Bell Island,Sunday,10:00 PM,Beaumont-Hamel
Portugal Cove,Sunday,7:25 AM,Beaumont-Hamel
Portugal Cove,Sunday,8:35 AM,Beaumont-Hamel
Portugal Cove,Sunday,9:45 AM,Beaumont-Hamel
Portugal Cove,Sunday,10:55 AM,Beaumont-Hamel
Portugal Cove,Sunday,12:05 PM,Beaumont-Hamel
Portugal Cove,Sunday,1:00 PM,Legionnaire
Portugal Cove,Sunday,2:30 PM,Legionnaire
Portugal Cove,Sunday,4:00 PM,Legionnaire
Portugal Cove,Sunday,4:45 PM,Beaumont-Hamel
Portugal Cove,Sunday,6:15 PM,Beaumont-Hamel
Portugal Cove,Sunday,7:00 PM,Legionnaire
Portugal Cove,Sunday,9:10 PM,Beaumont-Hamel
Portugal Cove,Sunday,10:35 PM,Beaumont-Hamel

