Location,Day,Time,Ferry
Bell Island,Monday to Friday,5:30 AM,Legionnaire
Bell Island,Monday to Friday,6:45 AM,Legionnaire
Bell Island,Monday to Friday,8:00 AM,Legionnaire
Bell Island,Monday to Friday,9:15 AM,Legionnaire
Bell Island,Monday to Friday,10:45 AM,Legionnaire
Bell Island,Monday to Friday,12:00 PM,Legionnaire (DG - Tuesday)
Bell Island,Monday to Friday,2:15 PM,Legionnaire
Bell Island,Monday to Friday,3:45 PM,Legionnaire
Bell Island,Monday to Friday,5:15 PM,Legionnaire
Bell Island,Monday to Friday,6:45 PM,Legionnaire
Bell Island,Monday to Friday,8:30 PM,Legionnaire
Portugal Cove,Monday to Friday,6:00 AM,Legionnaire (DG - Tuesday)
Portugal Cove,Monday to Friday,7:30 AM,Legionnaire
Portugal Cove,Monday to Friday,8:30 AM,Legionnaire
Portugal Cove,Monday to Friday,10:00 AM,Legionnaire
Portugal Cove,Monday to Friday,11:30 AM,Legionnaire
Portugal Cove,Monday to Friday,12:30 PM,Legionnaire
Portugal Cove,Monday to Friday,3:00 PM,Legionnaire
Portugal Cove,Monday to Friday,4:30 PM,Legionnaire
Portugal Cove,Monday to Friday,6:00 PM,Legionnaire
Portugal Cove,Monday to Friday,7:30 PM,Legionnaire
Portugal Cove,Monday to Friday,9:10 PM,Legionnaire
Bell Island,Saturday,6:50 AM,Legionnaire
Bell Island,Saturday,8:00 AM,Legionnaire
Bell Island,Saturday,9:15 AM,Legionnaire
Bell Island,Saturday,10:45 AM,Legionnaire
Bell Island,Saturday,12:00 PM,Legionnaire
Bell Island,Saturday,2:15 PM,Legionnaire
Bell Island,Saturday,3:45 PM,Legionnaire
Bell Island,Saturday,5:15 PM,Legionnaire
Bell Island,Saturday,6:45 PM,Legionnaire
Bell Island,Saturday,8:30 PM,Legionnaire
Portugal Cove,Saturday,7:20 AM,Legionnaire
Portugal Cove,Saturday,8:30 AM,Legionnaire
Portugal Cove,Saturday,10:00 AM,Legionnaire
Portugal Cove,Saturday,11:30 PM,Legionnaire
Portugal Cove,Saturday,12:30 PM,Legionnaire
Portugal Cove,Saturday,3:00 PM,Legionnaire
Portugal Cove,Saturday,4:30 PM,Legionnaire
Portugal Cove,Saturday,6:00 PM,Legionnaire
Portugal Cove,Saturday,7:30 PM,Legionnaire
Portugal Cove,Saturday,9:10 PM,Legionnaire
Bell Island,Sunday,6:50 AM,Legionnaire
Bell Island,Sunday,8:00 AM,Legionnaire
Bell Island,Sunday,9:15 AM,Legionnaire
Bell Island,Sunday,10:45 AM,Legionnaire
Bell Island,Sunday,12:00 PM,Legionnaire
Bell Island,Sunday,2:15 PM,Legionnaire
Bell Island,Sunday,3:45 PM,Legionnaire
Bell Island,Sunday,5:15 PM,Legionnaire
Bell Island,Sunday,6:45 PM,Legionnaire
Bell Island,Sunday,8:30 PM,Legionnaire
Portugal Cove,Sunday,7:20 AM,Legionnaire
Portugal Cove,Sunday,8:30 AM,Legionnaire
Portugal Cove,Sunday,10:00 AM,Legionnaire
Portugal Cove,Sunday,11:30 PM,Legionnaire
Portugal Cove,Sunday,12:30 PM,Legionnaire
Portugal Cove,Sunday,3:00 PM,Legionnaire
Portugal Cove,Sunday,4:30 PM,Legionnaire
Portugal Cove,Sunday,6:00 PM,Legionnaire
Portugal Cove,Sunday,7:30 PM,Legionnaire
Portugal Cove,Sunday,9:10 PM,Legionnaire
